trip_id,rider_usage_codes,count_code_0,count_code_2,count_code_3
10004003431441-JUNE23,['0'],1,0,0
10004003431456-JUNE23,['0'],1,0,0
10004003431511-JUNE23,['0'],1,0,0
10004003431526-JUNE23,['0'],1,0,0
10004003431555-JUNE23,['0'],1,0,0
10004003431602-JUNE23,['0'],1,0,0
10004003431610-JUNE23,['0'],1,0,0
10004003431626-JUNE23,['0'],1,0,0
10004003431642-JUNE23,['0'],1,0,0
10004003431657-JUNE23,['0'],1,0,0
10004003431713-JUNE23,['0'],1,0,0
10004003431720-JUNE23,['0'],1,0,0
10004003431729-JUNE23,['0'],1,0,0
10004003431744-JUNE23,['0'],1,0,0
10004003431800-JUNE23,['0'],1,0,0
10004003431819-JUNE23,['0'],1,0,0
10004003431829-JUNE23,['0'],1,0,0
10004003431840-JUNE23,['0'],1,0,0
10004003431934-JUNE23,['0'],1,0,0
10004003432443-JUNE23,['0'],1,0,0
10004003432734-JUNE23,['0'],1,0,0
10004003442304-JUNE23,['0'],1,0,0
10004003442404-JUNE23,['0'],1,0,0
10004003442504-JUNE23,['0'],1,0,0
10004003442604-JUNE23,['0'],1,0,0
10004003450450-JUNE23,['0'],1,0,0
10004003450511-JUNE23,['0'],1,0,0
10004003450524-JUNE23,['0'],1,0,0
10004003450535-JUNE23,['0'],1,0,0
10004003450544-JUNE23,['0'],1,0,0
10004003450559-JUNE23,['0'],1,0,0
10004003450613-JUNE23,['0'],1,0,0
10004003450642-JUNE23,['0'],1,0,0
10004003450654-JUNE23,['0'],1,0,0
10004003451129-JUNE23,['0'],1,0,0
10004003451542-JUNE23,['0'],1,0,0
10004003451855-JUNE23,['0'],1,0,0
10004003451909-JUNE23,['0'],1,0,0
10004003451921-JUNE23,['0'],1,0,0
10004003460430-JUNE23,['0'],1,0,0
10004003461951-JUNE23,['0'],1,0,0
10004003462006-JUNE23,['0'],1,0,0
10004003462055-JUNE23,['0'],1,0,0
10004003462130-JUNE23,['0'],1,0,0
10004003462207-JUNE23,['0'],1,0,0
10004003462244-JUNE23,['0'],1,0,0
10004003472704-JUNE23,['0'],1,0,0
10004003480406-JUNE23,['0'],1,0,0
10004003490646-JUNE23,['0'],1,0,0
10004003490756-JUNE23,['0'],1,0,0
10004003490826-JUNE23,['0'],1,0,0
10004003490841-JUNE23,['0'],1,0,0
10004003490856-JUNE23,['0'],1,0,0
10004003490911-JUNE23,['0'],1,0,0
10004003490926-JUNE23,['0'],1,0,0
10004003490941-JUNE23,['0'],1,0,0
10004003490955-JUNE23,['0'],1,0,0
10004003491010-JUNE23,['0'],1,0,0
10004003491025-JUNE23,['0'],1,0,0
10004003491038-JUNE23,['0'],1,0,0
10004003491051-JUNE23,['0'],1,0,0
10004003491105-JUNE23,['0'],1,0,0
10004003491119-JUNE23,['0'],1,0,0
10004003491134-JUNE23,['0'],1,0,0
10004003491149-JUNE23,['0'],1,0,0
10004003491203-JUNE23,['0'],1,0,0
10004003491218-JUNE23,['0'],1,0,0
10004003491233-JUNE23,['0'],1,0,0
10004003491248-JUNE23,['0'],1,0,0
10004003491303-JUNE23,['0'],1,0,0
10004003491318-JUNE23,['0'],1,0,0
10004003491333-JUNE23,['0'],1,0,0
10004003491348-JUNE23,['0'],1,0,0
10004003491403-JUNE23,['0'],1,0,0
10004003491418-JUNE23,['0'],1,0,0
10004003491433-JUNE23,['0'],1,0,0
10004003491448-JUNE23,['0'],1,0,0
10004003491503-JUNE23,['0'],1,0,0
10004003491518-JUNE23,['0'],1,0,0
10004003491533-JUNE23,['0'],1,0,0
10004003491548-JUNE23,['0'],1,0,0
10004003491617-JUNE23,['0'],1,0,0
10004003491633-JUNE23,['0'],1,0,0
10004003491649-JUNE23,['0'],1,0,0
10004003491705-JUNE23,['0'],1,0,0
10004003491736-JUNE23,['0'],1,0,0
10004003491752-JUNE23,['0'],1,0,0
10004003491808-JUNE23,['0'],1,0,0
10010007940509-JUNE23,['0'],1,0,0
10010007940630-JUNE23,['0'],1,0,0
10010007940713-JUNE23,['0'],1,0,0
10010007940805-JUNE23,['0'],1,0,0
10010007940842-JUNE23,['0'],1,0,0
10010007940912-JUNE23,['0'],1,0,0
10010007940942-JUNE23,['0'],1,0,0
10010007941012-JUNE23,['0'],1,0,0
10010007941042-JUNE23,['0'],1,0,0
