route_id,direction_id,route_code,shape_id_counts,shape_ids_list,count_of_different_stop_ids,different_stop_ids,stop_names_list
120-13168,1,120,3,"1200097_JUNE23,1200098_JUNE23,1200099_JUNE23",0,[],
127-13168,0,127,2,"1270039_JUNE23,1270040_JUNE23",44,"[386, 388, 389, 390, 392, 393, 394, 396, 398, 399, 6288, 6289, 6290, 6291, 36498, 6293, 6294, 6295, 792, 6297, 922, 6296, 790, 9375, 9895, 827, 1350, 1351, 1352, 1353, 1354, 1355, 1356, 10444, 1359, 1362, 10451, 1364, 1365, 727, 728, 93, 8694, 1912]","Alondra / Stevens, Bellflower / Arthurdale, Bellflower / Somerset, Bellflower / Foster, Bellflower / Imperial, Bellflower / Jefferson, Bellflower / Lakewood, Bellflower / Linden, Bellflower / Rosecrans, Bellflower / Stewart and Gray, Bellflower / Washburn, Clark / Ives, Clark / Linden, Somerset / Lakewood, Compton / White, Somerset / Touchwood, Compton / Willowbrook, Compton / Alameda, Compton / Bradfield, Compton / Holly, Compton / Long Beach, Compton / Mayo, Compton / Santa Fe, Compton / Sloan, Compton / Willow, Compton / Atlantic, Compton / Gibson, Compton / Harris, Firestone / Lakewood, Somerset / Downey, Somerset / Garfield, Somerset / Georgia, Somerset / Hayter, Somerset / Orange, Somerset / Paramount, Somerset / Illinois, Somerset / San Jose, Somerset / Texaco, Alondra / Clark, Clark / Somerset, Compton / Douglas Dollarhide, Firestone / Patton, Firestone / Brookshire, Downey Transit Center"
127-13168,1,127,2,"1270034_JUNE23,1270035_JUNE23",0,[],
14-13168,0,14,3,"140502_JUNE23,140504_JUNE23,140505_JUNE23",0,[],
14-13168,0,37,3,"140502_JUNE23,140504_JUNE23,140505_JUNE23",0,[],
14-13168,1,14,3,"140508_JUNE23,140509_JUNE23,140510_JUNE23",0,[],
14-13168,1,37,3,"140508_JUNE23,140509_JUNE23,140510_JUNE23",0,[],
150-13168,0,150,4,"1500196_JUNE23,1500198_JUNE23,1500201_JUNE23,1500203_JUNE23",28,"[16904, 1035, 6573, 6578, 6586, 6587, 703, 6979, 6994, 6995, 6996, 24022, 9560, 14939, 14942, 6879, 7008, 14945, 14947, 20072, 14954, 14955, 14959, 14960, 14962, 14964, 14965, 7031]","Chatsworth Station, Devonshire / Owensmouth, Topanga Canyon / Mayall, Topanga Canyon / Lassen, Topanga Canyon / Prairie, Topanga Canyon / Roscoe, Vanowen / Topanga Canyon, Ventura / Reseda, Ventura / Amigo, Ventura / Avenida Hacienda, Ventura / Avenida Oriente, Ventura / Crebs, Ventura / Nestle, Devonshire / Canoga, Topanga Canyon / Chase, Topanga Canyon / Devonshire, Topanga Canyon / Elkwood, Topanga Canyon / Gresham, Topanga Canyon / Parthenia, Topanga Canyon / Plummer, Topanga Canyon / Runnymede, Topanga Canyon / Saticoy, Topanga Canyon / Schoolcraft, Topanga Canyon / Sherman Way, Topanga Canyon / Strathern, Zelzah / Ventura, Vanowen / Owensmouth, Topanga Canyon / Nordhoff"
150-13168,1,150,4,"1500197_JUNE23,1500199_JUNE23,1500200_JUNE23,1500202_JUNE23",14,"[14944, 14949, 16904, 8585, 9579, 14956, 15341, 15342, 1040, 15379, 12852, 15381, 15382, 703]","Chatsworth Station, Devonshire / Topanga Canyon, Ventura / Zelzah, Devonshire / Owensmouth, Topanga Canyon / Plummer, Topanga Canyon / Dupont, Topanga Canyon / Lassen, Topanga Canyon / Prairie, Ventura / Avenida Hacienda, Ventura / Avenida Oriente, Ventura / Lindley, Ventura / Nestle, Ventura / Newcastle, Zelzah / Ventura"
152-13168,0,152,4,"1520164_JUNE23,1520165_JUNE23,1520166_JUNE23,1520167_JUNE23",58,"[1865, 1869, 1870, 6223, 1872, 1871, 1873, 19061, 4763, 11681, 4531, 4533, 4534, 24247, 4536, 4537, 4538, 4539, 4540, 4541, 4542, 4543, 4544, 4545, 4547, 4548, 4549, 4554, 4555, 4556, 4557, 13006, 4559, 4560, 4561, 4564, 4565, 4566, 4567, 4568, 4569, 4571, 4572, 4573, 4575, 4576, 4577, 4578, 4579, 4581, 4583, 4584, 4585, 4586, 4587, 4588, 4590, 4591]","Fallbrook / Ingomar, Fallbrook / Roscoe, Fallbrook / Runnymede, Fallbrook / Saticoy, Fallbrook / Sherman Way, Fallbrook / Strathern, Roscoe / Canoga, Roscoe / Noble, Roscoe / Sparton, Roscoe / Woodman, Roscoe / Canterbury, Roscoe / Coldwater Canyon, Roscoe / Corbin, Roscoe / De Soto, Roscoe / Encino, Roscoe / Etiwanda, Roscoe / Farralone, Roscoe / Haskell, Roscoe / Gothic, Roscoe / Hayvenhurst, Roscoe / Hazeltine, Roscoe / Irondale, Roscoe / Lindley, Roscoe / Louise, Roscoe / Mason, Roscoe / Nagle, Roscoe / Oakdale, Roscoe / Oso, Roscoe / Owensmouth, Roscoe / Reseda, Roscoe / Sale, Roscoe / Orion, Roscoe / Sepulveda, Roscoe / Shirley, Roscoe / Shoup, Roscoe / Tampa, Roscoe / Tobias, Roscoe / Topanga Canyon, Roscoe / Van Nuys, Roscoe / Vanalden, Roscoe / Variel, Roscoe / Ventura Canyon, Roscoe / Wakefield, Roscoe / White Oak, Roscoe / Whitsett, Roscoe / Wilbur, Roscoe / Willis, Roscoe / Amestoy, Roscoe / Winnetka, Roscoe / Woodley, Roscoe / Yolanda, Roscoe / Zelzah, Roscoe / Ranchito, Sherman Way / Royer, West Hills Medical Center, Roscoe / Gloria, Roscoe / Balboa, Medical Center Dr / Community Medical Center"
